[23:38:19] === greece ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== greece ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
wrote 45142 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
pre-filter (--only-wikidata): 45142 -> 971 rows

971 polygons with wikidata=*
  matched:           463
  no en sitelink:    440
  no sitelinks:      68
  Q16523327 (greece/relation/1062685) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21683475 (greece/relation/1067831) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q829499 (greece/relation/1062703) -> matched: Syrna (island)  [body: 1635 chars]
  Q12874115 (greece/relation/1067817) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25118263 (greece/way/17356504) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21683078 (greece/way/17356508) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18810479 (greece/relation/35646119) -> matched: Pachia (Anafi)  [body: 212 chars]
  Q1741684 (greece/relation/1062861) -> matched: Kinaros  [body: 921 chars]
  Q12881748 (greece/relation/1061589) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21693440 (greece/relation/1062855) -> no_sitelinks: (no article)  [body: 0 chars]
  Q21693360 (greece/relation/1061597) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21693356 (greece/relation/1061601) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21683500 (greece/relation/1062863) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25024333 (greece/relation/35646121) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12872532 (greece/relation/1074049) -> matched: Imeri Gramvousa  [body: 5325 chars]
  Q15149289 (greece/relation/1075189) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25125764 (greece/relation/3453951) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21080095 (greece/relation/35646115) -> matched: Kafkanas  [body: 566 chars]
  Q21080023 (greece/relation/3453929) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21080382 (greece/relation/35801695) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21079964 (greece/relation/35801677) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25154873 (greece/relation/3453921) -> matched: Ammouliani  [body: 1120 chars]
  Q5271808 (greece/relation/35801687) -> matched: Diaporos Island  [body: 1261 chars]
  Q1738413 (greece/relation/3453939) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97204838 (greece/relation/7218753) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65807529 (greece/relation/35801693) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65683861 (greece/relation/35801679) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q640366 (greece/way/17636076) -> matched: Haliacmon  [body: 6698 chars]
  Q520124 (greece/relation/1096475) -> matched: Skantzoura  [body: 488 chars]
  Q12883564 (greece/relation/1931893) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12076775 (greece/relation/1931863) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12117802 (greece/relation/1931811) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25023095 (greece/relation/35796309) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2728339 (greece/relation/1096467) -> matched: Peristera  [body: 710 chars]
  Q16327285 (greece/relation/1096433) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16332259 (greece/relation/1931909) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12873351 (greece/relation/35796305) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16326967 (greece/relation/1096441) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1169674 (greece/relation/1073033) -> matched: Gioura  [body: 827 chars]
  Q12881031 (greece/relation/1096437) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12873031 (greece/relation/1931869) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12883673 (greece/relation/1931897) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3555818 (greece/relation/1073029) -> matched: Psathoura  [body: 563 chars]
  Q25023183 (greece/relation/3452765) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21540675 (greece/relation/35796327) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12879760 (greece/relation/1931901) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25020690 (greece/relation/1930957) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25069779 (greece/relation/35796325) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3561917 (greece/relation/1930933) -> matched: Valaxa  [body: 389 chars]
  Q21533956 (greece/relation/35796313) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12884509 (greece/relation/1931899) -> no_lang_sitelink: (no article)  [body: 0 chars]
