OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 14400s

=== spain ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/spain.parquet
wrote 240230 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/spain.parquet
pre-filter (--only-wikidata): 240230 -> 3182 rows

3182 polygons with wikidata=*
  matched:           766
  no en sitelink:    2130
  no sitelinks:      286
  Q8775368 (spain/way/48597162) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5830377 (spain/way/48597546) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2893285 (spain/way/52850480) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q44379294 (spain/way/59760398) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5830504 (spain/way/93045544) -> matched: La Grajera Reservoir  [body: 2050 chars]
  Q120795 (spain/way/96243260) -> matched: University of La Rioja  [body: 2347 chars]
  Q8775359 (spain/way/98285884) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107737833 (spain/way/443704232) -> no_sitelinks: (no article)  [body: 0 chars]
  Q686526 (spain/way/506074404) -> matched: Logroño–Agoncillo Airport  [body: 842 chars]
  Q1645994 (spain/way/570096308) -> matched: Tormantos  [body: 1436 chars]
  Q1445242 (spain/relation/688061) -> matched: Lapuebla de Labarca  [body: 8109 chars]
  Q3441485 (spain/way/1352790764) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q36347995 (spain/way/1510972006) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3553510 (spain/way/1687251050) -> matched: Valdezcaray  [body: 1087 chars]
  Q8343549 (spain/way/1688706110) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16616295 (spain/relation/25544471) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2995995 (spain/way/2657033770) -> no_lang_sitelink: (no article)  [body: 0 chars]
