OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 14400s

=== norway ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/norway.parquet
wrote 413801 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/norway.parquet
pre-filter (--only-wikidata): 413801 -> 9247 rows

9247 polygons with wikidata=*
  matched:           1178
  no en sitelink:    5835
  no sitelinks:      2234
  Q1543126 (norway/way/39688200) -> matched: University Centre in Svalbard  [body: 6550 chars]
  Q11957557 (norway/way/54637154) -> matched: Alpini Island  [body: 391 chars]
  Q16896569 (norway/way/54637178) -> matched: Delitschøya  [body: 214 chars]
  Q16904514 (norway/way/54637180) -> matched: Zieglerøya  [body: 902 chars]
  Q16828823 (norway/way/54637184) -> matched: Antarcticøya  [body: 293 chars]
  Q1153196 (norway/way/54637186) -> matched: Tirpitzøya  [body: 312 chars]
  Q31877786 (norway/way/54637188) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16891463 (norway/way/54637208) -> matched: Fugløya, Svalbard  [body: 246 chars]
  Q16896750 (norway/way/54637214) -> matched: Klovningen  [body: 303 chars]
  Q19375565 (norway/way/54637216) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4205336 (norway/way/54637218) -> matched: Ytre Norskøya  [body: 1901 chars]
  Q31874994 (norway/way/54637226) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31864330 (norway/way/54637246) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q29784582 (norway/relation/22137791) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q979212 (norway/relation/22137417) -> matched: Foynøya  [body: 347 chars]
  Q4972687 (norway/relation/22137419) -> matched: Brochøya  [body: 274 chars]
  Q6372383 (norway/relation/22137213) -> matched: Karl XII-øya  [body: 962 chars]
  Q4338854 (norway/way/54637272) -> matched: Waldenøya  [body: 493 chars]
