[00:20:10] === denmark ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== denmark ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/denmark.parquet
wrote 175795 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/denmark.parquet
pre-filter (--only-wikidata): 175795 -> 2149 rows

2149 polygons with wikidata=*
  matched:           405
  no en sitelink:    1363
  no sitelinks:      381
  Q31928189 (denmark/relation/12489573) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2686981 (denmark/way/6197512) -> matched: Ørstedsparken  [body: 6232 chars]
  Q892711 (denmark/way/6197606) -> matched: University of Copenhagen Botanical Garden  [body: 8134 chars]
  Q4993439 (denmark/way/6198218) -> matched: Nørrebroparken  [body: 469 chars]
  Q742670 (denmark/way/6198222) -> matched: Assistens Cemetery (Copenhagen)  [body: 6249 chars]
  Q50252589 (denmark/relation/18617815) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23746973 (denmark/relation/9536297) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2013616 (denmark/way/8196380) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1621335 (denmark/way/8197980) -> matched: Hjælmshoved  [body: 1351 chars]
  Q1621360 (denmark/way/8198060) -> matched: Hjortø  [body: 205 chars]
  Q23736538 (denmark/way/8198068) -> matched: Store Egholm  [body: 229 chars]
  Q23749564 (denmark/way/8198470) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1656394 (denmark/way/8198478) -> matched: Strynø Kalv  [body: 419 chars]
  Q23736548 (denmark/way/8198584) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1125193 (denmark/way/8198910) -> matched: Rågø  [body: 116 chars]
  Q23732863 (denmark/way/8198918) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2512223 (denmark/way/8198970) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1341092 (denmark/way/8198988) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q808446 (denmark/way/8198992) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1758574 (denmark/way/8199088) -> matched: Masnedø  [body: 1953 chars]
  Q732364 (denmark/way/8199228) -> matched: Askø  [body: 703 chars]
  Q23748305 (denmark/way/8199274) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23746977 (denmark/way/8199294) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2066711 (denmark/way/8202366) -> matched: Skarø  [body: 4164 chars]
  Q23744889 (denmark/way/8202394) -> matched: Lille Egholm  [body: 424 chars]
  Q1183537 (denmark/way/8202410) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23744902 (denmark/way/8202414) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23732927 (denmark/way/8202550) -> no_lang_sitelink: (no article)  [body: 0 chars]
