[23:13:25] === estonia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== estonia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/estonia.parquet
pre-filter (--only-wikidata): 47160 -> 1125 rows

1125 polygons with wikidata=*
  matched:           316
  no en sitelink:    765
  no sitelinks:      44
  Q61398438 (estonia/way/60051432) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23887150 (estonia/way/60051434) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23886952 (estonia/way/60051438) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14954798 (estonia/way/60287548) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1807497 (estonia/way/60382974) -> matched: Tamme Stadium  [body: 2858 chars]
  Q12374678 (estonia/way/60382982) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14955995 (estonia/way/60383016) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32195761 (estonia/way/60546010) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6477470 (estonia/way/61467236) -> matched: Lake Raadi  [body: 796 chars]
  Q16410364 (estonia/way/61467346) -> matched: Anne Canal  [body: 306 chars]
  Q16410364 (estonia/way/61467506) -> matched: Anne Canal  [body: 306 chars]
  Q61402146 (estonia/way/61688770) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25509078 (estonia/way/61689236) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2095029 (estonia/way/62182480) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6477161 (estonia/way/62213948) -> matched: Lake Nüpli  [body: 512 chars]
  Q18623161 (estonia/way/62558558) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18624980 (estonia/way/62811404) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18624983 (estonia/way/62811530) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23888963 (estonia/way/67993156) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12364012 (estonia/way/68098300) -> matched: Hirvepark  [body: 287 chars]
  Q61399283 (estonia/relation/252203) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20530795 (estonia/way/68490948) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12364345 (estonia/way/68699460) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3737153 (estonia/way/69364120) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6406076 (estonia/way/69764872) -> matched: Kiidjärv  [body: 440 chars]
  Q24031315 (estonia/way/73677742) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24025167 (estonia/way/73677744) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32199454 (estonia/way/73677752) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6788077 (estonia/way/73677766) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11230230 (estonia/way/73677770) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q17435866 (estonia/way/73677778) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q177609 (estonia/way/73677790) -> matched: Lake Kirikumäe  [body: 525 chars]
  Q32197537 (estonia/way/73677792) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13459581 (estonia/way/73747226) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18623741 (estonia/way/73747232) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24025217 (estonia/way/73747266) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24025208 (estonia/way/73747270) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24034731 (estonia/way/73747278) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32197917 (estonia/relation/325763) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32197491 (estonia/way/73747288) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21092555 (estonia/way/73763152) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25519344 (estonia/relation/331447) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13668081 (estonia/way/74079612) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20529808 (estonia/way/75108672) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q113376100 (estonia/way/75364212) -> no_sitelinks: (no article)  [body: 0 chars]
  Q14915535 (estonia/way/76214242) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12371117 (estonia/way/76214244) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24031251 (estonia/way/76894120) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12362669 (estonia/way/76894128) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32195072 (estonia/way/78435770) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61398064 (estonia/relation/447939) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18626663 (estonia/relation/2885557) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31272236 (estonia/way/81234820) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3743829 (estonia/way/81602808) -> matched: Sutlepa Sea  [body: 742 chars]
  Q20529616 (estonia/relation/7990739) -> no_lang_sitelink: (no article)  [body: 0 chars]
