[02:36:10] === belarus ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== belarus ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belarus.parquet
wrote 223750 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belarus.parquet
pre-filter (--only-wikidata): 223750 -> 5820 rows

5820 polygons with wikidata=*
  matched:           404
  no en sitelink:    5335
  no sitelinks:      81
  Q13029116 (belarus/way/33160804) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q29113387 (belarus/way/46156340) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4345289 (belarus/way/47108678) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q17043382 (belarus/way/47117644) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q59504942 (belarus/way/47173238) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2657160 (belarus/way/47173274) -> matched: Kalvaryja  [body: 945 chars]
  Q4345303 (belarus/way/47947706) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26712804 (belarus/way/48846448) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662040 (belarus/relation/15179219) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662044 (belarus/relation/15179221) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662070 (belarus/relation/15179225) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662034 (belarus/relation/15179211) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662068 (belarus/relation/15179213) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662047 (belarus/relation/15179215) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662045 (belarus/relation/15179227) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662065 (belarus/relation/11041683) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662069 (belarus/relation/15179229) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662062 (belarus/relation/13608415) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662032 (belarus/relation/13608413) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662035 (belarus/relation/10311087) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662030 (belarus/relation/15179239) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662024 (belarus/relation/15179241) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662063 (belarus/relation/10311083) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662027 (belarus/relation/15179209) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662025 (belarus/relation/15179233) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662029 (belarus/relation/13821231) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20662028 (belarus/relation/15179235) -> no_lang_sitelink: (no article)  [body: 0 chars]
