[00:38:10] === belgium ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== belgium ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
wrote 125108 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
pre-filter (--only-wikidata): 125108 -> 1005 rows

1005 polygons with wikidata=*
  matched:           223
  no en sitelink:    706
  no sitelinks:      76
  Q21764795 (belgium/way/28784522) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2423861 (belgium/way/29184244) -> matched: Leopold Park  [body: 4633 chars]
  Q692411 (belgium/way/30108546) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1739399 (belgium/way/31834348) -> matched: Doel Nuclear Power Station  [body: 12729 chars]
  Q642991 (belgium/way/31845636) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18610993 (belgium/way/32139712) -> matched: Anderlecht Cemetery  [body: 2395 chars]
  Q20127506 (belgium/way/32140296) -> matched: Molenbeek-Saint-Jean Cemetery  [body: 2904 chars]
  Q2972538 (belgium/way/32140994) -> matched: Laeken Cemetery  [body: 2581 chars]
  Q3364173 (belgium/way/32178704) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20669821 (belgium/way/32606742) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1993163 (belgium/way/34413864) -> matched: Hazewinkel  [body: 893 chars]
  Q13571044 (belgium/way/35512902) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33100645 (belgium/way/37898656) -> no_sitelinks: (no article)  [body: 0 chars]
  Q135406900 (belgium/way/38381286) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2712355 (belgium/way/39572584) -> matched: Hoevenen Airfield  [body: 836 chars]
  Q285074 (belgium/way/39763488) -> matched: Bosuilstadion  [body: 1446 chars]
  Q2475871 (belgium/way/40890222) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2248900 (belgium/way/42217852) -> matched: Schoonselhof cemetery  [body: 918 chars]
  Q3052500 (belgium/way/43686566) -> matched: Meise Botanic Garden  [body: 5968 chars]
  Q51782179 (belgium/way/45861830) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q110121416 (belgium/way/45967716) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3363925 (belgium/way/45968056) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14375559 (belgium/way/46035570) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2135684 (belgium/way/46035590) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2116618 (belgium/way/46035616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q55071439 (belgium/way/46272686) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q41535987 (belgium/way/46285124) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q52637888 (belgium/way/46303578) -> no_sitelinks: (no article)  [body: 0 chars]
  Q84718213 (belgium/way/46321192) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23021247 (belgium/way/46321304) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3363878 (belgium/way/46321436) -> no_lang_sitelink: (no article)  [body: 0 chars]
