[23:50:09] === hungary ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== hungary ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/hungary.parquet
wrote 77569 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/hungary.parquet
pre-filter (--only-wikidata): 77569 -> 461 rows

461 polygons with wikidata=*
  matched:           141
  no en sitelink:    303
  no sitelinks:      17
  Q906761 (hungary/way/236707876) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q64555484 (hungary/way/238038908) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65218150 (hungary/way/238743694) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q548523 (hungary/way/244413950) -> matched: Fertőszentmiklós Airfield  [body: 587 chars]
  Q927718 (hungary/relation/3352791) -> matched: Municipality of Kobilje  [body: 431 chars]
  Q12627551 (hungary/relation/3515817) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q903092 (hungary/way/271190064) -> matched: University of Debrecen  [body: 5659 chars]
  Q789302 (hungary/way/272795556) -> matched: Balatonring  [body: 1622 chars]
  Q26232311 (hungary/way/281411136) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1242106 (hungary/way/293246748) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26231542 (hungary/way/293958826) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1215492 (hungary/way/310880056) -> matched: Lake Naplás  [body: 795 chars]
  Q12006462 (hungary/way/311468336) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q28722718 (hungary/way/314924796) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q30281185 (hungary/way/324512530) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1043995 (hungary/relation/4437827) -> matched: Virt  [body: 1709 chars]
  Q1073190 (hungary/relation/4545111) -> matched: Ipeľské Predmostie  [body: 1360 chars]
  Q678129 (hungary/relation/4546621) -> matched: Lipovany  [body: 1057 chars]
  Q278601 (hungary/relation/4549563) -> matched: Večelkov  [body: 1041 chars]
  Q1043165 (hungary/relation/4549383) -> matched: Studená, Slovakia  [body: 1181 chars]
  Q1043165 (hungary/relation/4549465) -> matched: Studená, Slovakia  [body: 1181 chars]
  Q1111094 (hungary/relation/4540231) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26233539 (hungary/way/343912796) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1050599 (hungary/relation/4769475) -> matched: Chorváty  [body: 1409 chars]
  Q1107095 (hungary/relation/4769395) -> matched: Kechnec  [body: 3806 chars]
  Q1078323 (hungary/relation/4772609) -> matched: Malý Kamenec  [body: 1185 chars]
  Q30280876 (hungary/way/367973046) -> no_sitelinks: (no article)  [body: 0 chars]
  Q912703 (hungary/way/377510140) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q168477 (hungary/way/378452300) -> matched: Mátra Power Plant  [body: 3476 chars]
  Q60148266 (hungary/way/390668660) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15631447 (hungary/relation/5442485) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1105984 (hungary/relation/2909369) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1126452 (hungary/relation/5556529) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q28771801 (hungary/way/416864376) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5642896 (hungary/way/435369200) -> matched: Haller Park (Hungary)  [body: 1163 chars]
  Q39048701 (hungary/way/440268924) -> matched: Béke téri Stadion  [body: 277 chars]
  Q30260484 (hungary/way/440492202) -> no_sitelinks: (no article)  [body: 0 chars]
  Q53778211 (hungary/relation/5934667) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q930606 (hungary/relation/4656595) -> matched: Győr-Pér International Airport  [body: 328 chars]
  Q1111392 (hungary/way/447934204) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1296434 (hungary/way/452799208) -> matched: Hungarian University of Agriculture and Life Sciences  [body: 1507 chars]
  Q1031271 (hungary/relation/6077645) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q774516 (hungary/way/456049622) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q853080 (hungary/way/456690296) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q288130 (hungary/way/456690314) -> matched: Fiume Road Graveyard  [body: 6678 chars]
  Q125459854 (hungary/way/456690380) -> no_sitelinks: (no article)  [body: 0 chars]
  Q26230793 (hungary/way/456690448) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q137991082 (hungary/way/456690454) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q108327188 (hungary/way/456693238) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1470215 (hungary/way/456699770) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q64219740 (hungary/way/456703524) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18711934 (hungary/way/456703582) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26233566 (hungary/way/456714612) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26231260 (hungary/way/456714626) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20439415 (hungary/way/456715680) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26232167 (hungary/way/456715684) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1473625 (hungary/way/456715718) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12815902 (hungary/way/456761500) -> matched: Salgotarjani Street Jewish Cemetery  [body: 2754 chars]
  Q78190058 (hungary/way/456762270) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6518755 (hungary/way/456763478) -> matched: Lehel (company)  [body: 459 chars]
  Q55743750 (hungary/way/456769650) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q138904873 (hungary/way/456770026) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q135417891 (hungary/way/456771604) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q851334 (hungary/way/456772548) -> matched: Budaörs Airport  [body: 3335 chars]
  Q137989660 (hungary/way/456773388) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65217309 (hungary/way/466441386) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26233522 (hungary/way/472866844) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15728754 (hungary/way/476146624) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1216693 (hungary/way/479128714) -> matched: Ópusztaszer National Heritage Park  [body: 4362 chars]
  Q67941673 (hungary/way/492206026) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11994119 (hungary/way/492335898) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26233717 (hungary/way/492411528) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q28453674 (hungary/way/522031880) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q338509 (hungary/relation/4437765) -> matched: Patince  [body: 4337 chars]
  Q111999667 (hungary/way/537256614) -> no_sitelinks: (no article)  [body: 0 chars]
  Q30282192 (hungary/way/550366928) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q875711 (hungary/way/557861186) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1072930 (hungary/relation/4769369) -> matched: Milhosť  [body: 3560 chars]
  Q25458871 (hungary/way/562929252) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20461869 (hungary/way/565770782) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q544673 (hungary/way/569653532) -> matched: Nova Rock Festival  [body: 3730 chars]
  Q996444 (hungary/relation/7767049) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q996499 (hungary/relation/2828699) -> matched: Farkasréti Cemetery  [body: 4330 chars]
  Q1001127 (hungary/relation/4632399) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1176528 (hungary/way/590761230) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q57653635 (hungary/relation/7856217) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q681570 (hungary/relation/6269443) -> matched: Pápa Air Base  [body: 1870 chars]
  Q26233560 (hungary/way/592026668) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1120689 (hungary/relation/7897389) -> matched: Kozma Street Cemetery  [body: 1624 chars]
  Q26228629 (hungary/way/594855220) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q96029375 (hungary/relation/7917475) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1036942 (hungary/way/597997476) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q909187 (hungary/relation/7990483) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q909185 (hungary/relation/7990485) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q178510 (hungary/way/620482810) -> matched: Battle of Mohács  [body: 39021 chars]
  Q255039 (hungary/way/624519224) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/627487054) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60715833 (hungary/way/627487066) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97757314 (hungary/way/633266140) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26231887 (hungary/way/634073574) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q572010 (hungary/way/645069312) -> matched: Szolnok Air Base  [body: 610 chars]
  Q26232139 (hungary/relation/37622193) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25454945 (hungary/way/653236568) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q876300 (hungary/relation/4413401) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q969277 (hungary/relation/4437787) -> matched: Klížska Nemá  [body: 1889 chars]
  Q1326801 (hungary/way/660787182) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1290366 (hungary/way/664465378) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q116817229 (hungary/way/668772820) -> matched: Veľký Lél Island  [body: 913 chars]
  Q976053 (hungary/relation/5934681) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26233532 (hungary/relation/9637323) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q630125 (hungary/relation/9653433) -> matched: Gedeon Richter (company)  [body: 9347 chars]
  Q1212803 (hungary/relation/4769313) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q847016 (hungary/relation/5069633) -> matched: Ponor  [body: 2205 chars]
  Q30973081 (hungary/way/701867086) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q782452 (hungary/way/702360038) -> matched: University of Dunaújváros  [body: 427 chars]
  Q15054321 (hungary/relation/5556527) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21619468 (hungary/relation/3232655) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q50320039 (hungary/relation/10685863) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q51332506 (hungary/relation/6053889) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1109635 (hungary/relation/12181307) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65074339 (hungary/way/751202090) -> matched: Mátra Solar Power Plant  [body: 830 chars]
  Q62017535 (hungary/way/759243162) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27102747 (hungary/relation/11530429) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q139740971 (hungary/way/779260936) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1228106 (hungary/relation/11702091) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q106412014 (hungary/relation/11785713) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1314941 (hungary/relation/11903627) -> matched: Lake Sárkány  [body: 302 chars]
  Q781630 (hungary/relation/11951003) -> matched: Nyíregyháza Airport  [body: 1733 chars]
