[23:27:30] === serbia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== serbia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/serbia.parquet
wrote 47189 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/serbia.parquet
pre-filter (--only-wikidata): 47189 -> 400 rows

400 polygons with wikidata=*
  matched:           187
  no en sitelink:    210
  no sitelinks:      3
  Q11878022 (serbia/way/301361086) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2586088 (serbia/way/305590720) -> matched: Petrovaradin Fortress  [body: 7801 chars]
  Q3280859 (serbia/way/312555054) -> matched: Makiš  [body: 13136 chars]
  Q910205 (serbia/way/326764294) -> matched: Sremska Mitrovica Prison  [body: 3537 chars]
  Q61128783 (serbia/way/333012488) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31182619 (serbia/way/335038934) -> no_sitelinks: (no article)  [body: 0 chars]
  Q31182638 (serbia/way/335039714) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2371121 (serbia/way/337415918) -> matched: Šumarice Memorial Park  [body: 2575 chars]
  Q34796203 (serbia/way/348641608) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97195651 (serbia/way/348805762) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11981887 (serbia/way/349817946) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3594318 (serbia/way/356326178) -> matched: Šumice, Belgrade  [body: 5052 chars]
  Q3074840 (serbia/way/360345746) -> matched: Belgrade Fair  [body: 14130 chars]
  Q18394121 (serbia/way/361206228) -> matched: Thermal power plant Kolubara  [body: 950 chars]
  Q11991325 (serbia/way/361206230) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11991316 (serbia/way/361206236) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906877 (serbia/way/364998174) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25455296 (serbia/way/364998180) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26982003 (serbia/way/364998182) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12749045 (serbia/way/364998194) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25312354 (serbia/way/365868132) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12758764 (serbia/way/373798980) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q618044 (serbia/way/374321180) -> matched: Apatin Brewery  [body: 3903 chars]
  Q962949 (serbia/way/384312778) -> matched: Vračar plateau  [body: 25877 chars]
  Q65200338 (serbia/way/386825136) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19903651 (serbia/way/388675412) -> matched: Sloboda (defense company)  [body: 2311 chars]
  Q2906876 (serbia/way/392565774) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906878 (serbia/way/392565780) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98098427 (serbia/way/392565786) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q89385963 (serbia/way/392565792) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31183301 (serbia/way/392565800) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31183157 (serbia/way/392565802) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31183110 (serbia/way/392565806) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906882 (serbia/way/392565810) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98098429 (serbia/way/392565814) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q30037696 (serbia/way/396949194) -> matched: Park of Friendship, New Belgrade  [body: 6020 chars]
  Q97330063 (serbia/way/396949196) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16682260 (serbia/way/403284276) -> matched: Valjaonica bakra Sevojno  [body: 2156 chars]
  Q12752817 (serbia/way/403757872) -> matched: University Clinical Centre of Serbia  [body: 1434 chars]
  Q98098423 (serbia/way/408526776) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98098424 (serbia/way/408526778) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98098425 (serbia/way/408526780) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q98098426 (serbia/way/408526782) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31183172 (serbia/way/408526784) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3081391 (serbia/way/408526798) -> matched: Retenzija  [body: 1542 chars]
  Q128597089 (serbia/way/410695104) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12746888 (serbia/way/414758898) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q373577 (serbia/way/420864240) -> matched: Smederevska Palanka Airfield  [body: 506 chars]
  Q7361170 (serbia/way/434306518) -> matched: Rusanda  [body: 3015 chars]
  Q166971 (serbia/way/442920416) -> matched: Zavoj Lake  [body: 3163 chars]
  Q4882636 (serbia/way/468777020) -> matched: Belgrade Bus Station  [body: 479 chars]
  Q127955 (serbia/way/476327948) -> matched: Belgrade Nikola Tesla Airport  [body: 14201 chars]
  Q16084324 (serbia/way/476520972) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15990616 (serbia/way/487930728) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16085231 (serbia/way/503368392) -> matched: Philip Morris Operations  [body: 1274 chars]
  Q904677 (serbia/way/503559502) -> matched: Subotica Airfield  [body: 935 chars]
  Q2990524 (serbia/way/510991350) -> matched: Dedinje Royal Compound  [body: 2859 chars]
  Q134425901 (serbia/relation/6882215) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16083580 (serbia/way/513961080) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906880 (serbia/way/513961704) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2742417 (serbia/way/513991122) -> matched: Bežanija  [body: 19889 chars]
  Q16083611 (serbia/way/514805502) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7127675 (serbia/relation/22290535) -> matched: Lake Palić  [body: 22145 chars]
  Q1386505 (serbia/way/543844496) -> matched: Fabrika automobila Priboj  [body: 7571 chars]
  Q3544603 (serbia/way/543989130) -> matched: Sremska Mitrovica Airport  [body: 901 chars]
  Q1262128 (serbia/way/548920236) -> matched: Niš Constantine the Great Airport  [body: 8664 chars]
  Q31182637 (serbia/way/549276808) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2886640 (serbia/way/561932518) -> matched: Military Base "South"  [body: 1194 chars]
  Q105964305 (serbia/way/566365170) -> no_sitelinks: (no article)  [body: 0 chars]
  Q647240 (serbia/way/573194490) -> matched: Orlovača  [body: 3224 chars]
  Q3502849 (serbia/way/575720734) -> matched: Sugar Refinery, Čukarica  [body: 11472 chars]
