[06:08:31] === finland ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== finland ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/finland.parquet
wrote 427870 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/finland.parquet
pre-filter (--only-wikidata): 427870 -> 7880 rows

7880 polygons with wikidata=*
  matched:           392
  no en sitelink:    4997
  no sitelinks:      2491
  Q24368430 (finland/way/8433378) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3305149 (finland/way/8461184) -> matched: Melkki  [body: 560 chars]
  Q3363915 (finland/relation/36744759) -> matched: Sinebrychoff Park  [body: 3704 chars]
  Q24340226 (finland/way/8551166) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24345778 (finland/way/8620478) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11880706 (finland/way/8682986) -> matched: Malmi Cemetery  [body: 3337 chars]
  Q54824181 (finland/way/8738234) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24327296 (finland/way/8889600) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11880405 (finland/way/8901186) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24386289 (finland/way/8996676) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3377477 (finland/relation/16596737) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24340341 (finland/way/9106752) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18693522 (finland/way/9108262) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24535428 (finland/way/9120756) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24535429 (finland/way/9120842) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24368710 (finland/way/9130254) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4330680 (finland/way/9163292) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4226661 (finland/way/9163478) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11899733 (finland/way/9204524) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24539371 (finland/way/9218808) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24539373 (finland/way/9218854) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24539372 (finland/way/9218886) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24539374 (finland/way/9218892) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11886438 (finland/way/9219660) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24302694 (finland/way/9219978) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24302738 (finland/way/9220598) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24302647 (finland/way/9220640) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24302774 (finland/way/9221374) -> no_lang_sitelink: (no article)  [body: 0 chars]
