[02:02:42] === netherlands ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== netherlands ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
wrote 169468 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
pre-filter (--only-wikidata): 169468 -> 1738 rows

1738 polygons with wikidata=*
  matched:           283
  no en sitelink:    1307
  no sitelinks:      148
  Q130751737 (netherlands/way/12633450) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1517984 (netherlands/way/12633694) -> matched: Alkmaarderhout (stadium)  [body: 18950 chars]
  Q28733368 (netherlands/way/12634626) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1980263 (netherlands/way/12635528) -> matched: Hortus Haren  [body: 450 chars]
  Q21515847 (netherlands/way/12635588) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21558912 (netherlands/way/12635590) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21558917 (netherlands/way/12635602) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q228628 (netherlands/way/12636304) -> matched: Zuiderduintjes  [body: 1674 chars]
  Q790217 (netherlands/way/12636338) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2390357 (netherlands/way/12636388) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16069356 (netherlands/way/12636480) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19960637 (netherlands/way/12636492) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q167158 (netherlands/way/12636498) -> matched: VDL Nedcar  [body: 6155 chars]
  Q2656343 (netherlands/way/12636562) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2477363 (netherlands/way/12636806) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2637838 (netherlands/way/12637094) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q129094383 (netherlands/way/12637198) -> no_sitelinks: (no article)  [body: 0 chars]
  Q125413672 (netherlands/way/12637204) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2304955 (netherlands/way/12637210) -> no_lang_sitelink: (no article)  [body: 0 chars]
