OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 14400s

=== sweden ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/sweden.parquet
wrote 397661 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/sweden.parquet
pre-filter (--only-wikidata): 397661 -> 30980 rows

30980 polygons with wikidata=*
  matched:           632
  no en sitelink:    25826
  no sitelinks:      4522
  Q32275277 (sweden/way/6816838) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32241461 (sweden/way/6819786) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10550611 (sweden/way/6821840) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10548555 (sweden/way/6822084) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10500963 (sweden/way/6823278) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10489210 (sweden/way/6824794) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19758201 (sweden/way/6825534) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31899378 (sweden/way/6851702) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10496371 (sweden/relation/20474243) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q29654292 (sweden/way/8262370) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32279410 (sweden/way/8262406) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32296431 (sweden/relation/10496561) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32230719 (sweden/relation/21237599) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10713419 (sweden/relation/21046757) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10502311 (sweden/relation/22041789) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49677228 (sweden/relation/20477363) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2045558 (sweden/relation/20478229) -> no_lang_sitelink: (no article)  [body: 0 chars]
