[00:08:23] === croatia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== croatia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/croatia.parquet
wrote 47140 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/croatia.parquet
pre-filter (--only-wikidata): 47140 -> 625 rows

625 polygons with wikidata=*
  matched:           188
  no en sitelink:    427
  no sitelinks:      10
  Q3506630 (croatia/way/17675868) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12786613 (croatia/way/17675940) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509508 (croatia/way/17675944) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3444053 (croatia/way/17675956) -> matched: Zeča  [body: 301 chars]
  Q12805534 (croatia/way/17675976) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3510744 (croatia/way/17676020) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507158 (croatia/way/17676024) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12795076 (croatia/way/17676028) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12804351 (croatia/way/17676066) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12639027 (croatia/way/17676068) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12636441 (croatia/way/17676088) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506831 (croatia/way/17676096) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506804 (croatia/way/17676102) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508426 (croatia/way/17676108) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507137 (croatia/way/17676158) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506675 (croatia/way/17676172) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12637436 (croatia/way/17676182) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6959600 (croatia/way/17676184) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506765 (croatia/way/17676194) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12631277 (croatia/way/17676206) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506647 (croatia/way/17676222) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12644495 (croatia/way/17676258) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14701408 (croatia/way/17676288) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506636 (croatia/way/17676306) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507604 (croatia/way/17676318) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12645782 (croatia/way/17676326) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12644687 (croatia/way/17676330) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508364 (croatia/way/17676338) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509372 (croatia/way/17676342) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12628362 (croatia/way/17676346) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507075 (croatia/way/17676366) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509484 (croatia/way/17676376) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506797 (croatia/way/17676390) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12631510 (croatia/way/17676394) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507062 (croatia/way/17676438) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2123434 (croatia/way/17676440) -> matched: Galešnjak  [body: 1500 chars]
  Q892508 (croatia/way/17676480) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12805500 (croatia/way/17676486) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14698882 (croatia/way/17676492) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509512 (croatia/way/17676500) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12643404 (croatia/way/17676508) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1435248 (croatia/way/17676514) -> matched: Lavsa  [body: 292 chars]
  Q3509381 (croatia/way/17676516) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12803278 (croatia/way/17676522) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12803707 (croatia/way/17676530) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508352 (croatia/way/17676532) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12643929 (croatia/way/17676536) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12806882 (croatia/way/17676544) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508397 (croatia/way/17676550) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509475 (croatia/way/17676570) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507085 (croatia/way/17676604) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1809606 (croatia/way/17676610) -> matched: Vrgada  [body: 1187 chars]
  Q12644242 (croatia/way/17676640) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506862 (croatia/way/17676642) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509393 (croatia/way/17676652) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507010 (croatia/way/17676654) -> no_lang_sitelink: (no article)  [body: 0 chars]
