[01:47:44] === lithuania ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== lithuania ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/lithuania.parquet
wrote 76550 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/lithuania.parquet
pre-filter (--only-wikidata): 76550 -> 2146 rows

2146 polygons with wikidata=*
  matched:           117
  no en sitelink:    2017
  no sitelinks:      12
  Q12664419 (lithuania/way/57359692) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65259639 (lithuania/way/57364356) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16479005 (lithuania/way/57364366) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65259975 (lithuania/way/57364406) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12651383 (lithuania/way/57364412) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16443478 (lithuania/way/57364512) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65260229 (lithuania/way/57364526) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20504209 (lithuania/way/57364632) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61386420 (lithuania/way/57364780) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65261294 (lithuania/way/57364854) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12668993 (lithuania/way/57365176) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12680721 (lithuania/way/57365296) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65259214 (lithuania/way/57365310) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12650256 (lithuania/way/57365344) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16458219 (lithuania/way/57365356) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65260239 (lithuania/way/57365414) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65260268 (lithuania/way/57365856) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65259024 (lithuania/way/57366062) -> no_lang_sitelink: (no article)  [body: 0 chars]
