[23:22:04] === latvia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== latvia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/latvia.parquet
pre-filter (--only-wikidata): 47133 -> 748 rows

748 polygons with wikidata=*
  matched:           70
  no en sitelink:    628
  no sitelinks:      50
  Q49302011 (latvia/way/49103960) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4102723 (latvia/way/49326930) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q5765299 (latvia/way/49351692) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49315338 (latvia/way/49352530) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218751 (latvia/way/49461426) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24275057 (latvia/way/49461826) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24275084 (latvia/way/49461908) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49316957 (latvia/way/49611340) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219328 (latvia/way/49643230) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23826406 (latvia/way/50081064) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16363257 (latvia/way/50081080) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19754304 (latvia/way/50373090) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19754347 (latvia/way/50375466) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19754333 (latvia/way/50376870) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19754372 (latvia/way/50379200) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19772412 (latvia/way/50381534) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19754317 (latvia/way/50387094) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19754336 (latvia/way/50388904) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21866589 (latvia/way/50393790) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21866587 (latvia/way/50394676) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219215 (latvia/way/50586820) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219718 (latvia/way/50586986) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15220135 (latvia/way/50693522) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61121404 (latvia/way/51734900) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218970 (latvia/way/52028616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4505873 (latvia/way/53256136) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16359971 (latvia/way/53494338) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4169673 (latvia/way/54157382) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q86674548 (latvia/way/54158052) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219199 (latvia/relation/38326849) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219896 (latvia/way/54857162) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49315140 (latvia/relation/60195) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q63790070 (latvia/way/56322680) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16363184 (latvia/way/56593142) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16450324 (latvia/way/57369150) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219596 (latvia/way/58571356) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219396 (latvia/way/61290278) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49310940 (latvia/way/61290438) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20401498 (latvia/way/61290440) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20404759 (latvia/relation/2863749) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21086534 (latvia/way/63643154) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20400767 (latvia/way/63643170) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219429 (latvia/way/63643230) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218998 (latvia/way/65106508) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49300575 (latvia/way/68121490) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3271618 (latvia/way/70186034) -> matched: Lielvārde Air Base  [body: 2357 chars]
  Q20577476 (latvia/way/71155768) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219246 (latvia/way/73546626) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61387629 (latvia/way/73741930) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26472944 (latvia/way/74569988) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20400824 (latvia/way/75230524) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q101008877 (latvia/way/75709946) -> no_sitelinks: (no article)  [body: 0 chars]
  Q101009690 (latvia/way/75709948) -> no_sitelinks: (no article)  [body: 0 chars]
  Q100977403 (latvia/way/75709950) -> no_sitelinks: (no article)  [body: 0 chars]
  Q100977417 (latvia/way/75709952) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q100235329 (latvia/way/75730730) -> no_sitelinks: (no article)  [body: 0 chars]
  Q100235731 (latvia/way/75792864) -> no_sitelinks: (no article)  [body: 0 chars]
  Q112263345 (latvia/way/75792866) -> no_sitelinks: (no article)  [body: 0 chars]
  Q22917659 (latvia/way/75792874) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21481120 (latvia/way/75792878) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q100975186 (latvia/way/75793522) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q101064584 (latvia/way/75793524) -> no_sitelinks: (no article)  [body: 0 chars]
  Q100965714 (latvia/way/75793530) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20404180 (latvia/way/75793546) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q101079492 (latvia/way/75793558) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20400795 (latvia/way/75793568) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20399906 (latvia/way/75794624) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219587 (latvia/way/75794640) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q101230491 (latvia/way/75794644) -> no_sitelinks: (no article)  [body: 0 chars]
  Q101075028 (latvia/way/75794682) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20402120 (latvia/way/75794686) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20405153 (latvia/way/75794688) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q101080568 (latvia/way/75794700) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q101090763 (latvia/way/75794726) -> no_sitelinks: (no article)  [body: 0 chars]
  Q19754309 (latvia/way/75801044) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20400854 (latvia/way/75801074) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20402267 (latvia/way/75801076) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218450 (latvia/way/75801084) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20400313 (latvia/way/75801088) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20400124 (latvia/way/75801100) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14917209 (latvia/way/75801148) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11233066 (latvia/way/75801158) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24067676 (latvia/way/75816582) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21974465 (latvia/way/75906224) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3036898 (latvia/way/76135590) -> matched: Great Cemetery  [body: 7818 chars]
  Q17047336 (latvia/way/76275566) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q100997429 (latvia/way/76275576) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20405312 (latvia/way/76277472) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219066 (latvia/way/76277476) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q100235101 (latvia/way/76277484) -> no_sitelinks: (no article)  [body: 0 chars]
  Q13029236 (latvia/way/76277486) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q100320962 (latvia/way/76277498) -> no_sitelinks: (no article)  [body: 0 chars]
  Q35711394 (latvia/way/76277500) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20803995 (latvia/way/76277506) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13029098 (latvia/way/76277512) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219250 (latvia/way/76277520) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218460 (latvia/way/76285252) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49317069 (latvia/way/76285272) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q100158007 (latvia/way/76285278) -> no_sitelinks: (no article)  [body: 0 chars]
  Q21086535 (latvia/way/76285284) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219154 (latvia/way/76285286) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10949624 (latvia/way/76285288) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q100157873 (latvia/way/76285290) -> no_sitelinks: (no article)  [body: 0 chars]
  Q10969569 (latvia/way/76285748) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4096719 (latvia/way/76285756) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q107075278 (latvia/way/76480210) -> no_sitelinks: (no article)  [body: 0 chars]
  Q15220080 (latvia/way/76689714) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49312532 (latvia/way/76689718) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20402704 (latvia/way/76867240) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23826376 (latvia/way/76889772) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4073653 (latvia/way/77552224) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35717627 (latvia/way/77616222) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25915439 (latvia/way/78262086) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25931628 (latvia/way/78262088) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25931621 (latvia/way/78262094) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49308344 (latvia/way/78601572) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25999194 (latvia/way/78654846) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25931626 (latvia/way/78655104) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25931631 (latvia/way/78655516) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25931633 (latvia/way/78655518) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4450593 (latvia/way/80125924) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q19360697 (latvia/way/80125934) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20402027 (latvia/way/81468930) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219408 (latvia/way/82426254) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23826397 (latvia/way/82857168) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10970477 (latvia/way/82953634) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26879471 (latvia/way/84990500) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27089541 (latvia/way/90152354) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q32198381 (latvia/way/91152738) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12377621 (latvia/way/91152838) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49317041 (latvia/way/99799472) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16468001 (latvia/way/101466894) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23889817 (latvia/way/103678900) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21814423 (latvia/way/107611892) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218663 (latvia/way/122534382) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15220033 (latvia/way/122584874) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219099 (latvia/way/122588762) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219237 (latvia/way/122646010) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219508 (latvia/way/123879078) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21481207 (latvia/way/127941722) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49305473 (latvia/way/128897060) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4849013 (latvia/way/130823868) -> matched: Bakans  [body: 298 chars]
  Q15220155 (latvia/relation/2060157) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218758 (latvia/way/135997962) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49314716 (latvia/way/137413336) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49305058 (latvia/relation/27117701) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15220041 (latvia/relation/2165599) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23924696 (latvia/way/140060940) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20400709 (latvia/relation/5760371) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23924695 (latvia/way/140066256) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23924704 (latvia/way/140066272) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21663867 (latvia/way/140077026) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23419048 (latvia/way/140883432) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23419050 (latvia/way/140883874) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20876430 (latvia/way/142249188) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20405404 (latvia/way/145218204) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219897 (latvia/way/163245122) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218746 (latvia/way/169829188) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15218914 (latvia/way/169831418) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15219408 (latvia/way/169831614) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q344625 (latvia/way/169836054) -> matched: Ķīpsala  [body: 832 chars]
