[23:33:09] === iceland ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== iceland ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
wrote 47896 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
pre-filter (--only-wikidata): 47896 -> 471 rows

471 polygons with wikidata=*
  matched:           166
  no en sitelink:    302
  no sitelinks:      3
  Q3506395 (iceland/way/60636160) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q34798331 (iceland/way/60954294) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q115651961 (iceland/way/61273024) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49306194 (iceland/way/61273042) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25066751 (iceland/way/75836802) -> matched: Westman Islands Golf Club  [body: 1178 chars]
  Q35706681 (iceland/way/77270250) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35719250 (iceland/way/86243888) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35707820 (iceland/way/86243932) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35735688 (iceland/way/86244066) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q30005357 (iceland/way/86251236) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49316952 (iceland/way/86251422) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35719603 (iceland/way/86362998) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49305985 (iceland/way/86675896) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7071261 (iceland/way/89562216) -> matched: Nyrðra-Vatnalautavatn  [body: 278 chars]
  Q35700187 (iceland/way/89562448) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49310814 (iceland/way/89566710) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49305987 (iceland/way/89611860) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35698875 (iceland/way/90166602) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18449859 (iceland/way/90166840) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35704479 (iceland/way/90169330) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1165723 (iceland/way/91354902) -> matched: Kringlan  [body: 1154 chars]
  Q2295690 (iceland/way/91410772) -> matched: Smáralind  [body: 1001 chars]
  Q65336440 (iceland/way/91411060) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49308630 (iceland/way/96795230) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16427983 (iceland/way/104550554) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16902561 (iceland/way/104552446) -> matched: Vatnsmýrin Nature Reserve  [body: 2910 chars]
  Q843204 (iceland/way/104556790) -> matched: Reykjavík Airport  [body: 16896 chars]
  Q6817215 (iceland/way/110900784) -> matched: Menntaskólinn við Sund  [body: 160 chars]
  Q3556395 (iceland/relation/1812797) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6485215 (iceland/way/128095534) -> matched: Landspítali  [body: 2107 chars]
  Q653324 (iceland/way/136382960) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16420392 (iceland/relation/2726583) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q597331 (iceland/way/239866836) -> matched: Bíldudalur Airport  [body: 766 chars]
  Q27012275 (iceland/relation/38400007) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q17510148 (iceland/way/328484646) -> matched: Fáskrúðsfjörður Airport  [body: 303 chars]
  Q16425048 (iceland/way/330908158) -> matched: Gelgjutangi  [body: 247 chars]
  Q49300134 (iceland/way/335263128) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49311060 (iceland/way/335264876) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35703100 (iceland/way/335266220) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18005466 (iceland/way/335270806) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35696166 (iceland/way/335271688) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16424057 (iceland/way/342119992) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33639445 (iceland/way/343875306) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q30005373 (iceland/way/343882982) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35717361 (iceland/way/344454220) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16430612 (iceland/way/344603028) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2796402 (iceland/way/345737882) -> matched: Kópavogsvöllur  [body: 955 chars]
  Q16423689 (iceland/relation/20665413) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1332485 (iceland/way/353448034) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3482494 (iceland/way/360230868) -> matched: Kópavogur College  [body: 367 chars]
  Q13642812 (iceland/relation/5166163) -> matched: Laugarnes  [body: 790 chars]
  Q3481229 (iceland/relation/5166185) -> matched: Norðurmýri  [body: 248 chars]
  Q16426291 (iceland/relation/5166195) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q35718613 (iceland/way/390207330) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2875922 (iceland/way/391617842) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11824275 (iceland/way/394546458) -> matched: Blönduós Airport  [body: 570 chars]
  Q16419701 (iceland/way/421274054) -> no_lang_sitelink: (no article)  [body: 0 chars]
