[09:09:22] big4 starting
[09:09:22] >>> slovakia
[09:09:22] === slovakia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 14400s

=== slovakia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/slovakia.parquet
pre-filter (--only-wikidata): 54888 -> 4825 rows

4825 polygons with wikidata=*
  matched:           3473
  no en sitelink:    1206
  no sitelinks:      146
  Q9385708 (slovakia/way/58479164) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q120289031 (slovakia/way/64058388) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25481984 (slovakia/way/64509284) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q104808158 (slovakia/way/65331356) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1070067 (slovakia/way/65905638) -> matched: Drahovce  [body: 1957 chars]
  Q12775735 (slovakia/way/66535840) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q265976 (slovakia/way/66916286) -> matched: Popradské pleso  [body: 497 chars]
  Q725076 (slovakia/way/66974238) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q663056 (slovakia/way/66974326) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q725064 (slovakia/way/66974410) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q55619544 (slovakia/way/67763334) -> no_sitelinks: (no article)  [body: 0 chars]
  Q22583421 (slovakia/way/69161712) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q112748939 (slovakia/way/76481750) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14602137 (slovakia/way/76498166) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1031463 (slovakia/way/76954434) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q124466761 (slovakia/relation/11216731) -> no_sitelinks: (no article)  [body: 0 chars]
  Q23929461 (slovakia/way/84459698) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q22346233 (slovakia/way/84638514) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q392301 (slovakia/way/89480234) -> matched: Štadión FK Senica  [body: 1331 chars]
  Q3507369 (slovakia/way/95150022) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q835231 (slovakia/way/95150024) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q784135 (slovakia/way/98796476) -> matched: Leopoldov Prison  [body: 8106 chars]
  Q11789738 (slovakia/way/99042212) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18424059 (slovakia/way/102494492) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q55619669 (slovakia/way/103965612) -> no_sitelinks: (no article)  [body: 0 chars]
  Q427654 (slovakia/way/104437710) -> matched: Slovakia Ring  [body: 7051 chars]
  Q14602125 (slovakia/way/105883160) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2756445 (slovakia/way/106364840) -> matched: Eurovea City  [body: 6231 chars]
  Q15630269 (slovakia/way/118594678) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q112096716 (slovakia/way/118790444) -> no_sitelinks: (no article)  [body: 0 chars]
  Q11824685 (slovakia/way/141625134) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q101598582 (slovakia/way/144788144) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q124463042 (slovakia/relation/40847135) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12778810 (slovakia/way/157547310) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q777774 (slovakia/way/160260598) -> matched: Košice International Airport  [body: 4752 chars]
  Q112093471 (slovakia/way/160283652) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20902904 (slovakia/relation/21629725) -> matched: Dubník (nature reserve)  [body: 793 chars]
  Q12770607 (slovakia/way/161786472) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11834795 (slovakia/way/161786488) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861213 (slovakia/way/161786498) -> matched: Topoľové hony  [body: 518 chars]
  Q20860420 (slovakia/way/161786524) -> matched: Gajc  [body: 479 chars]
  Q20860621 (slovakia/way/161786528) -> matched: Kopáčsky ostrov  [body: 734 chars]
  Q20861102 (slovakia/way/161786530) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860640 (slovakia/way/161786534) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860481 (slovakia/way/161786548) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861163 (slovakia/way/161786576) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860281 (slovakia/way/161786584) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861162 (slovakia/way/161786592) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860451 (slovakia/way/161786596) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860890 (slovakia/relation/2432485) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860900 (slovakia/way/161786606) -> matched: Parížske močiare  [body: 747 chars]
  Q16517337 (slovakia/way/161786610) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861169 (slovakia/way/161786612) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20902962 (slovakia/way/161786624) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q128661836 (slovakia/way/161786636) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860273 (slovakia/way/161786640) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860711 (slovakia/way/161786642) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860780 (slovakia/way/161786646) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860504 (slovakia/way/161786652) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860735 (slovakia/way/161786654) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860888 (slovakia/way/161786658) -> matched: Ostrov orliaka morského (nature reserve)  [body: 996 chars]
  Q20861344 (slovakia/way/161786670) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860472 (slovakia/relation/21629733) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861330 (slovakia/way/161786690) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860392 (slovakia/relation/21623131) -> matched: Dunajské trstiny  [body: 538 chars]
  Q20860755 (slovakia/way/161786696) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861282 (slovakia/relation/21584345) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860904 (slovakia/way/161786718) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860184 (slovakia/way/161786738) -> matched: Abrod  [body: 3208 chars]
  Q20902964 (slovakia/way/161786742) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861346 (slovakia/way/161786816) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860248 (slovakia/way/161786832) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861214 (slovakia/way/161786840) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860196 (slovakia/way/161786872) -> no_lang_sitelink: (no article)  [body: 0 chars]
