[02:28:38] === portugal ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== portugal ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/portugal.parquet
wrote 66287 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/portugal.parquet
pre-filter (--only-wikidata): 66287 -> 747 rows

747 polygons with wikidata=*
  matched:           205
  no en sitelink:    424
  no sitelinks:      118
  Q10352616 (portugal/way/16272068) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49641969 (portugal/way/22552954) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3325030 (portugal/way/22552996) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q10332742 (portugal/way/22576440) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q49641998 (portugal/way/22622216) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1053347 (portugal/way/27062520) -> matched: Agramonte Cemetery  [body: 2626 chars]
  Q10345496 (portugal/way/27242898) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q943743 (portugal/way/27605738) -> matched: Porto Airport  [body: 4919 chars]
  Q30592901 (portugal/way/28654912) -> matched: Cemetery of Prado do Repouso  [body: 3535 chars]
  Q99534449 (portugal/way/39282862) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q66942450 (portugal/way/45931818) -> matched: Botanical Garden of the University of Coimbra  [body: 4625 chars]
  Q10376492 (portugal/relation/19959249) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1584266 (portugal/relation/19956067) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q63378568 (portugal/relation/14774449) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7455252 (portugal/relation/9657875) -> matched: Serra do Açor Protected Landscape  [body: 170 chars]
  Q5171884 (portugal/relation/19624327) -> matched: Corno do Bico Protected Landscape  [body: 574 chars]
  Q105708687 (portugal/way/49392094) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1658454 (portugal/way/49592308) -> matched: Cal Islet  [body: 1920 chars]
  Q2273637 (portugal/way/53557252) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1800480 (portugal/way/53588084) -> matched: Lagoa do Fogo  [body: 6219 chars]
  Q1475035 (portugal/way/53588148) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2303252 (portugal/way/53893852) -> matched: Porto Santo Golfe  [body: 972 chars]
  Q1425158 (portugal/way/54062568) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7684407 (portugal/way/54532574) -> matched: Tapada Nacional de Mafra  [body: 1303 chars]
  Q54950305 (portugal/way/54533088) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7401585 (portugal/way/59838518) -> matched: St. Julian's School  [body: 4397 chars]
  Q70103694 (portugal/way/65002126) -> no_lang_sitelink: (no article)  [body: 0 chars]
