OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 14400s

=== germany ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/germany.parquet
wrote 1131888 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/germany.parquet
pre-filter (--only-wikidata): 1131888 -> 18907 rows

18907 polygons with wikidata=*
  matched:           2152
  no en sitelink:    14886
  no sitelinks:      1869
  Q2152268 (germany/way/8080358) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1301867 (germany/way/8543410) -> matched: Stadtwaldsee (Bremen)  [body: 1866 chars]
  Q1673284 (germany/way/8558618) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1632637 (germany/way/9345238) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q106854 (germany/way/9428442) -> matched: Beck's Brewery  [body: 1363 chars]
  Q23786170 (germany/way/9635850) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q109914810 (germany/way/23118270) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60232191 (germany/way/28266048) -> no_sitelinks: (no article)  [body: 0 chars]
  Q1466516 (germany/way/30801716) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18616374 (germany/way/32440178) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15127904 (germany/way/39668510) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1281961 (germany/relation/737685) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q340930 (germany/way/45453378) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1004692 (germany/way/45930290) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15123653 (germany/way/46408546) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q59114 (germany/way/46464618) -> matched: Jacobs University Bremen  [body: 16790 chars]
  Q112972246 (germany/way/46480974) -> no_lang_sitelink: (no article)  [body: 0 chars]
