[03:31:13] === austria ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== austria ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/austria.parquet
pre-filter (--only-wikidata): 133711 -> 1245 rows

1245 polygons with wikidata=*
  matched:           284
  no en sitelink:    875
  no sitelinks:      86
  Q138606596 (austria/way/19630454) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q336097 (austria/way/19631994) -> matched: Danube–Oder Canal  [body: 2287 chars]
  Q336097 (austria/way/19634752) -> matched: Danube–Oder Canal  [body: 2287 chars]
  Q2287236 (austria/way/19651950) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20602717 (austria/way/19654136) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20740205 (austria/way/19765482) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q37947346 (austria/way/19772992) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1686165 (austria/way/20080370) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q873366 (austria/way/20091686) -> matched: Turracher See  [body: 1017 chars]
  Q873917 (austria/way/20384144) -> matched: Kapuzinerberg  [body: 4485 chars]
  Q1444316 (austria/relation/10633403) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1457371 (austria/way/20396130) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1525601 (austria/way/20457788) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q38251439 (austria/way/20757330) -> matched: Soboth Reservoir  [body: 1431 chars]
  Q876732 (austria/way/20856600) -> matched: Offensee  [body: 127 chars]
  Q2509720 (austria/way/21189130) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1566071 (austria/way/21354942) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2329575 (austria/way/21478024) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23264 (austria/way/21862024) -> no_lang_sitelink: (no article)  [body: 0 chars]
